sale_type,sold_date,property_type,address,city,state_or_province,zip_code,price,beds,baths,location,sq_feet,lot_size,yr_built,days_on_mkt,price_per_sq_foot,hoa_per_month,status,next_open_house_start_time,next_open_house_end_time,url,source,mls_num,favorite,interested,latitude,longitude
MLS Listing,,Condo/Co-op,1332 Waller St,San Francisco,CA,94117,1649000,3,2.0,Haight Ashbury,1764,,1904,6,935,200,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1332-Waller-St-94117/home/1870638,San Francisco MLS,483852,N,Y,37.7693878,-122.4458723
MLS Listing,,Condo/Co-op,2200 Pacific Ave Unit 6B,San Francisco,CA,94115,1195000,1,1.5,Pacific Heights,1172,,1962,6,1020,1256,Active,April-28-2019 11:00 AM,April-28-2019 01:00 PM,http://www.redfin.com/CA/San-Francisco/2200-Pacific-Ave-94115/unit-6B/home/1434384,San Francisco MLS,483759,N,Y,37.7939819,-122.4317719
MLS Listing,,Single Family Residential,265 Yerba Buena Ave,San Francisco,CA,94127,1495000,2,2.0,Sherwood Forest,1601,3598,1938,6,934,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/265-Yerba-Buena-Ave-94127/home/954743,San Francisco MLS,483867,N,Y,37.7347191,-122.4596612
MLS Listing,,Single Family Residential,145 Presidio Ave,San Francisco,CA,94115,7495000,4,4.5,Presidio Heights,4701,,1925,6,1594,,Active,,,http://www.redfin.com/CA/San-Francisco/145-Presidio-Ave-94115/home/1594968,San Francisco MLS,483882,N,Y,37.790185,-122.447635
MLS Listing,,Single Family Residential,1120 Lake St,San Francisco,CA,94118,1998000,4,2.0,Lake,2534,2156,1920,6,788,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1120-Lake-St-94118/home/1435626,San Francisco MLS,483881,N,Y,37.7865628,-122.4715136
MLS Listing,,Single Family Residential,1924 Pine St,San Francisco,CA,94109,3495000,3,2.5,Lower Pacific Height,2580,3152,1877,6,1355,,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1924-Pine-St-94109/home/571502,San Francisco MLS,483723,N,Y,37.7888858,-122.428288
MLS Listing,,Multi-Family (5+ Unit),1915 Bush St,San Francisco,CA,94115,3495000,6,,Lower Pacific Height,5106,3781,1965,6,684,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1915-Bush-St-94115/home/1467145,San Francisco MLS,483878,N,Y,37.7874404,-122.4291968
MLS Listing,,Condo/Co-op,2023 Jefferson St,San Francisco,CA,94123,1799000,2,2.0,Marina,1444,,1929,6,1246,,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/2023-Jefferson-St-94123/home/55244665,San Francisco MLS,483486,N,Y,37.8041215,-122.4458687
MLS Listing,,Condo/Co-op,630 Diamond St,San Francisco,CA,94114,995000,2,1.0,Noe Valley,964,,1908,6,1032,275,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/630-Diamond-St-94114/home/40456983,San Francisco MLS,483661,N,Y,37.7523076,-122.4367072
MLS Listing,,Townhouse,1501 Filbert St Unit 3D,San Francisco,CA,94123,1950000,3,2.5,Cow Hollow,1662,,2014,6,1173,838,Active,April-28-2019 01:00 PM,April-28-2019 03:00 PM,http://www.redfin.com/CA/San-Francisco/1501-Filbert-St-94123/unit-3D/home/62323187,San Francisco MLS,483713,N,Y,37.7991911,-122.4245164
